MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
15299 On ch=1 n=61 v=64
15359 On ch=1 n=61 v=0
15359 On ch=1 n=59 v=64
15419 On ch=1 n=59 v=0
15479 On ch=1 n=66 v=64
15539 On ch=1 n=66 v=0
15599 On ch=1 n=68 v=64
15659 On ch=1 n=68 v=0
15719 On ch=1 n=71 v=64
15779 On ch=1 n=71 v=0
15779 On ch=1 n=66 v=64
15839 On ch=1 n=66 v=0
15839 On ch=1 n=66 v=64
16079 On ch=1 n=66 v=0
16079 On ch=1 n=59 v=64
16199 On ch=1 n=59 v=0
16199 On ch=1 n=78 v=64
16259 On ch=1 n=78 v=0
16259 On ch=1 n=78 v=64
16319 On ch=1 n=78 v=0
16319 On ch=1 n=78 v=64
16679 On ch=1 n=78 v=0
16799 On ch=1 n=76 v=64
16889 On ch=1 n=76 v=0
16889 On ch=1 n=75 v=64
16919 On ch=1 n=75 v=0
16919 On ch=1 n=76 v=64
16949 On ch=1 n=76 v=0
16949 On ch=1 n=75 v=64
16979 On ch=1 n=75 v=0
16979 On ch=1 n=76 v=64
17009 On ch=1 n=76 v=0
17009 On ch=1 n=75 v=64
17039 On ch=1 n=75 v=0
17039 On ch=1 n=76 v=64
17099 On ch=1 n=76 v=0
17099 On ch=1 n=76 v=64
17159 On ch=1 n=76 v=0
17159 On ch=1 n=75 v=64
17219 On ch=1 n=75 v=0
17219 On ch=1 n=73 v=64
17279 On ch=1 n=73 v=0
17279 On ch=1 n=71 v=64
17519 On ch=1 n=71 v=0
17519 On ch=1 n=70 v=64
17759 On ch=1 n=70 v=0
17759 On ch=1 n=66 v=64
17819 On ch=1 n=66 v=0
17819 On ch=1 n=68 v=64
17879 On ch=1 n=68 v=0
17879 On ch=1 n=69 v=64
17939 On ch=1 n=69 v=0
17939 On ch=1 n=66 v=64
17999 On ch=1 n=66 v=0
17999 On ch=1 n=65 v=64
18239 On ch=1 n=65 v=0
18239 On ch=1 n=64 v=64
18299 On ch=1 n=64 v=0
18299 On ch=1 n=66 v=64
18359 On ch=1 n=66 v=0
18359 On ch=1 n=68 v=64
18419 On ch=1 n=68 v=0
18419 On ch=1 n=64 v=64
18479 On ch=1 n=64 v=0
18479 On ch=1 n=63 v=64
18719 On ch=1 n=63 v=0
18719 On ch=1 n=64 v=64
18779 On ch=1 n=64 v=0
18779 On ch=1 n=80 v=64
18839 On ch=1 n=80 v=0
18839 On ch=1 n=80 v=64
18959 On ch=1 n=80 v=0
19199 On ch=1 n=71 v=64
19229 On ch=1 n=71 v=0
19229 On ch=1 n=75 v=64
19319 On ch=1 n=75 v=0
19319 On ch=1 n=75 v=64
19379 On ch=1 n=75 v=0
19379 On ch=1 n=71 v=64
19439 On ch=1 n=71 v=0
19439 On ch=1 n=71 v=64
19499 On ch=1 n=71 v=0
19499 On ch=1 n=71 v=64
19559 On ch=1 n=71 v=0
19559 On ch=1 n=70 v=64
19619 On ch=1 n=70 v=0
19619 On ch=1 n=64 v=64
19679 On ch=1 n=64 v=0
19679 On ch=1 n=63 v=64
19739 On ch=1 n=63 v=0
19739 On ch=1 n=64 v=64
19799 On ch=1 n=64 v=0
19799 On ch=1 n=66 v=64
19859 On ch=1 n=66 v=0
19859 On ch=1 n=69 v=64
19919 On ch=1 n=69 v=0
19919 On ch=1 n=68 v=64
20099 On ch=1 n=68 v=0
20099 On ch=1 n=64 v=64
20159 On ch=1 n=64 v=0
20159 On ch=1 n=63 v=64
20219 On ch=1 n=63 v=0
20219 On ch=1 n=64 v=64
20279 On ch=1 n=64 v=0
20279 On ch=1 n=66 v=64
20339 On ch=1 n=66 v=0
20339 On ch=1 n=69 v=64
20399 On ch=1 n=69 v=0
