Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
The Signal,2016-09-16,2014,PG-13,"Drama, Mystery, Sci-Fi",William Eubank,"Carlyle Eubank, William Eubank, David Frigerio","Brenton Thwaites, Olivia Cooke, Beau Knapp",English,6.1,tt2910814
The Silence,2019-04-10,2019,PG-13,"Drama, Horror, Sci-Fi",John R. Leonetti,"Carey Van Dyke, Shane Van Dyke, Tim Lebbon","Stanley Tucci, Kiernan Shipka, Miranda Otto","English, American Sign ",5.3,tt7315484
The Simpsons Movie,2017-01-07,2007,PG-13,"Animation, Adventure, Comedy",David Silverman,"James L. Brooks, Matt Groening, Al Jean","Dan Castellaneta, Julie Kavner, Nancy Cartwright",English,7.3,tt0462538
The Skeleton Twins,2015-09-01,2014,R,"Comedy, Drama, Romance",Craig Johnson,"Craig Johnson, Mark Heyman","Kristen Wiig, Bill Hader, Luke Wilson","English, Spanish",6.8,tt1571249
The Social Dilemma,2020-09-13,2020,PG-13,"Documentary, Drama",Jeff Orlowski,"Davis Coombe, Vickie Curtis, Jeff Orlowski","Tristan Harris, Jeff Seibert, Bailey Richardson",English,7.6,tt11464826
The Social Network,2020-12-05,2010,PG-13,"Biography, Drama",David Fincher,"Aaron Sorkin, Ben Mezrich","Jesse Eisenberg, Andrew Garfield, Justin Timberlake","English, French",7.7,tt1285016
The Spectacular Now,2018-08-06,2013,R,"Comedy, Drama, Romance",James Ponsoldt,"Scott Neustadter, Michael H. Weber, Tim Tharp","Miles Teller, Shailene Woodley, Kyle Chandler",English,7.1,tt1714206
The Speed Cubers,2020-08-01,2020,TV-PG,"Documentary, Short, Sport",Sue Kim,N/A,"Max Park, Schwan Park, Philipp Weyer",English,7.4,tt12038300
The Squid and the Whale,2019-12-26,2005,R,"Comedy, Drama",Noah Baumbach,Noah Baumbach,"Owen Kline, Jeff Daniels, Laura Linney",English,7.3,tt0367089
The Station Agent,2016-02-09,2003,R,"Comedy, Drama",Tom McCarthy,Tom McCarthy,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale","English, Spanish",7.6,tt0340377
The Theory of Everything,2020-08-09,2014,PG-13,"Biography, Drama, Romance",James Marsh,"Anthony McCarten, Jane Hawking","Eddie Redmayne, Felicity Jones, Tom Prior","English, French",7.7,tt2980516
The Titan,2018-04-07,2018,TV-MA,"Drama, Mystery, Romance",Lennart Ruff,"Max Hurwitz, Arash Amel","Sam Worthington, Taylor Schilling, Tom Wilkinson",English,4.8,tt4986098
The Truman Show,2018-06-19,1998,PG,"Comedy, Drama",Peter Weir,Andrew Niccol,"Jim Carrey, Ed Harris, Laura Linney",English,8.1,tt0120382
The Unbelievers,2014-09-23,2013,Not Rated,Documentary,Gus Holwerda,"Gus Holwerda, Luke Holwerda, Lawrence Krauss","Ayaan Hirsi Ali, Woody Allen, Richard Dawkins",English,6.9,tt2636522
The Unicorn,2020-10-06,2019–2021,TV-PG,"Comedy, Drama, Family",N/A,"Grady Cooper, Bill Martin, Mike Schiff","Walton Goggins, Rob Corddry, Omar Benson Miller",English,7.2,tt10329028
The Vicar of Dibley,2015-07-09,1994–2020,TV-PG,Comedy,N/A,N/A,"Dawn French, James Fleet, Trevor Peacock","English, Latin, Hebrew",8.0,tt0108981
The Walking Dead,2019-09-11,2010–2022,TV-14,"Drama, Horror, Thriller",N/A,"Frank Darabont, Angela Kang","Andrew Lincoln, Norman Reedus, Melissa McBride",English,8.2,tt1520211
The Wave,2016-07-23,2019,R,"Sci-Fi, Thriller",Gille Klabin,Carl W. Lucas,"Justin Long, Tommy Flanagan, Donald Faison",English,6.1,tt4354756
The Way Way Back,2014-04-08,2013,PG-13,"Comedy, Drama","Nat Faxon, Jim Rash","Nat Faxon, Jim Rash","Steve Carell, Toni Collette, Allison Janney",English,7.4,tt1727388
The Wedding Date,2016-01-30,2005,PG-13,"Comedy, Romance",Clare Kilner,"Elizabeth Young, Dana Fox","Dermot Mulroney, Debra Messing, Jack Davenport",English,6.2,tt0372532
The Wedding Guest,2014-06-24,2018,R,Thriller,Michael Winterbottom,Michael Winterbottom,"Dev Patel, Radhika Apte, Jim Sarbh",English,5.8,tt7645780
The West Wing,2018-06-19,1999–2006,TV-14,Drama,N/A,Aaron Sorkin,"Martin Sheen, Rob Lowe, Allison Janney",English,8.8,tt0200276
The Winning Season,2014-05-05,2009,PG-13,"Comedy, Sport",Jim Strouse,Jim Strouse,"Sam Rockwell, Emma Roberts, Rob Corddry",English,6.6,tt1293842
The Witcher,2020-12-10,2019–,TV-MA,"Action, Adventure, Fantasy",Tomek Baginski,Lauren Schmidt,"Henry Cavill, Anna Shaffer, Freya Allan",English,8.2,tt5180504
The World's Most Extraordinary Homes,2020-04-10,2017–2018,N/A,Documentary,N/A,N/A,"Caroline Quentin, Piers Taylor, Eduardo Arroyo","English, German, French, Italian, Turkish",7.6,tt7804132
The Wrong Missy,2020-06-13,2020,TV-MA,"Comedy, Romance",Tyler Spindel,"Chris Pappas, Kevin Barnett","David Spade, Lauren Lapkus, Nick Swardson",English,5.7,tt9619798
These Final Hours,2015-07-31,2013,R,"Drama, Sci-Fi, Thriller",Zak Hilditch,Zak Hilditch,"Jessica De Gouw, Nathan Phillips, David Field",English,6.7,tt2268458
