Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Scenes of a Sexual Nature,2013-12-20,2006,R,"Comedy, Drama, Romance",Ed Blum,Aschlin Ditta,"Holly Aird, Eileen Atkins, Hugh Bonneville",English,6.0,tt0475380
(Dis)Honesty: The Truth About Lies,2016-06-21,2015,Not Rated,"Documentary, Drama, News",Yael Melamede,N/A,Dan Ariely,English,7.5,tt2630898
12 Years a Slave,2014-09-06,2013,R,"Biography, Drama, History",Steve McQueen,"John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",English,8.1,tt2024544
1922,2017-12-24,2017,TV-MA,"Crime, Drama, Horror",Zak Hilditch,"Stephen King, Zak Hilditch","Thomas Jane, Molly Parker, Dylan Schmid",English,6.2,tt6214928
20th Century Women,2020-07-16,2016,R,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig",English,7.3,tt4385888
3 Percent,2016-11-27,2012,N/A,"Short, Adventure, Biography, Drama",Ron Strobel,Ron Strobel,William Strobel,English,N/A,tt2455304
30 Rock,2021-08-24,2006–2013,TV-14,Comedy,N/A,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan",English,8.2,tt0496424
42,2017-12-09,2013,PG-13,"Biography, Drama, Sport",Brian Helgeland,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford",English,7.5,tt0453562
50 First Dates,2017-06-06,2004,PG-13,"Comedy, Drama, Romance",Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider","English, Hawaiian, Mandarin",6.8,tt0343660
50/50,2019-12-19,2011,R,"Comedy, Drama, Romance",Jonathan Levine,Will Reiser,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",English,7.6,tt1306980
6 Balloons,2018-08-12,2018,TV-MA,Drama,Marja-Lewis Ryan,Marja-Lewis Ryan,"Abbi Jacobson, Dave Franco, Charlotte Carel",English,5.9,tt6142496
6 Underground,2019-12-20,2019,R,"Action, Thriller",Michael Bay,"Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo","English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",6.1,tt8106534
72 Dangerous Animals: Latin America,2017-12-29,2017,N/A,Documentary,N/A,N/A,"Bob Brisbane, Rui Seabra Ferreira Jr., Vidal Haddad Jr.",English,6.6,tt7909708
8 Mile,2015-03-02,2002,R,"Drama, Music",Curtis Hanson,Scott Silver,"Eminem, Brittany Murphy, Kim Basinger",English,7.1,tt0298203
9,2017-11-19,2009,PG-13,"Animation, Action, Adventure",Shane Acker,"Pamela Pettler, Shane Acker, Ben Gluck","Elijah Wood, Jennifer Connelly, Crispin Glover",English,7.1,tt0472033
A Beautiful Mind,2018-09-07,2001,PG-13,"Biography, Drama",Ron Howard,"Akiva Goldsman, Sylvia Nasar","Russell Crowe, Ed Harris, Jennifer Connelly",English,8.2,tt0268978
A Case of You,2018-08-21,2013,R,"Comedy, Romance",Kat Coiro,"Christian Long, Justin Long, Keir O'Donnell","Justin Long, Keir O'Donnell, Evan Rachel Wood",English,5.6,tt1817081
A Futile and Stupid Gesture,2018-06-01,2018,TV-MA,"Biography, Comedy",David Wain,"Michael Colton, John Aboud, Josh Karp","Frank Gingerich, Morgan Gingerich, Annette O'Toole",English,6.8,tt5566790
A Knight's Tale,2020-09-19,2001,PG-13,"Action, Adventure, Romance",Brian Helgeland,Brian Helgeland,"Heath Ledger, Mark Addy, Rufus Sewell","English, French, Latin",6.9,tt0183790
A League of Their Own,2015-12-08,1992,PG,"Comedy, Drama, Sport",Penny Marshall,"Kim Wilson, Kelly Candaele, Lowell Ganz","Tom Hanks, Geena Davis, Lori Petty",English,7.3,tt0104694
A Little Chaos,2019-04-20,2014,R,"Drama, Romance",Alan Rickman,"Jeremy Brock, Alison Deegan, Alan Rickman","Kate Winslet, Alan Rickman, Stanley Tucci",English,6.5,tt2639254
A Most Violent Year,2018-08-05,2014,R,"Action, Crime, Drama",J.C. Chandor,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo","English, Spanish",7.0,tt2937898
A Series of Unfortunate Events,2017-01-13,2004,PG,"Adventure, Comedy, Family",Brad Silberling,"Robert Gordon, Daniel Handler","Jim Carrey, Jude Law, Meryl Streep",English,6.8,tt0339291
A Serious Man,2018-03-26,2009,R,"Comedy, Drama","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Sari Lennick","English, Yiddish, Hebrew",7.1,tt1019452
A Single Man,2020-02-18,2009,R,"Drama, Romance",Tom Ford,"Christopher Isherwood, Tom Ford, David Scearce","Colin Firth, Julianne Moore, Matthew Goode","English, Spanish",7.5,tt1315981
A Time to Kill,2016-11-30,1996,R,"Crime, Drama, Thriller",Joel Schumacher,"John Grisham, Akiva Goldsman","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson",English,7.5,tt0117913
A Very Murray Christmas,2015-12-10,2015,TV-MA,"Comedy, Music, Musical",Sofia Coppola,"Sofia Coppola, Mitch Glazer, Bill Murray","Bill Murray, Paul Shaffer, Michael Cera",English,5.5,tt4537842
Anima,2019-07-02,2019,N/A,"Short, Music",Paul Thomas Anderson,N/A,"Thom Yorke, Dajana Roncione, Frida Dam Seidel",English,7.7,tt10516984
Abandoned,2016-07-14,2010,PG-13,"Drama, Mystery, Thriller",Michael Feifer,"Jeffrey Schenck (story), Peter Sullivan (story), Peter Sullivan (screenplay)","Brittany Murphy, Dean Cain, Mimi Rogers, Peter Bogdanovich",English,5.1,tt1470171
About Alex,2015-10-17,2014,R,Drama,Jesse Zwick,Jesse Zwick,"Nate Parker, Jason Ritter, Maggie Grace",English,6.4,tt2667918
About Time,2019-06-05,2013,R,"Comedy, Drama, Fantasy",Richard Curtis,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy",English,7.8,tt2194499
About a Boy,2019-04-13,2002,PG-13,"Comedy, Drama, Romance","Chris Weitz, Paul Weitz","Nick Hornby, Peter Hedges, Chris Weitz","Hugh Grant, Nicholas Hoult, Toni Collette",English,7.1,tt0276751
Accepted,2016-09-07,2006,PG-13,Comedy,Steve Pink,"Adam Cooper, Bill Collage, Mark Perez","Justin Long, Jonah Hill, Blake Lively",English,6.4,tt0384793
Adrift,2020-09-05,2018,PG-13,"Action, Adventure, Biography",Baltasar Kormákur,"Aaron Kandell, Jordan Kandell, David Branson Smith","Shailene Woodley, Sam Claflin, Jeffrey Thomas","English, French",6.6,tt6306064
Adult Beginners,2016-06-20,2014,R,"Action, Comedy, Drama",Ross Katz,"Nick Kroll, Jeff Cox, Liz Flahive","Nick Kroll, Rose Byrne, Bobby Cannavale",English,5.6,tt3318750
Adult World,2014-09-21,2013,R,"Comedy, Drama",Scott Coffey,Andy Cochran,"Emma Roberts, Evan Peters, John Cusack",English,6.1,tt1067765
Advantageous,2016-02-13,2015,Not Rated,"Drama, Family, Sci-Fi",Jennifer Phang,"Jacqueline Kim, Jennifer Phang","Jacqueline Kim, James Urbaniak, Freya Adams","English, French",6.2,tt3090670
Adventureland,2018-06-28,2009,R,"Comedy, Drama, Romance",Greg Mottola,Greg Mottola,"Jesse Eisenberg, Kristen Stewart, Ryan Reynolds",English,6.8,tt1091722
Africa,2016-06-06,2013,TV-PG,Documentary,N/A,N/A,"David Attenborough, Simon Blakeney, James Aldred",English,8.9,tt2571774
After the Ball,2016-01-30,2015,Not Rated,Comedy,Sean Garrity,"Jason Sherman, Kate Melville, Lana Griffin","Portia Doubleday, Marc-André Grondin, Chris Noth","English, French, Italian",5.9,tt3717016
Ali Wong: Baby Cobra,2019-06-17,2016,TV-MA,Comedy,Jay Karas,Ali Wong,Ali Wong,English,7.6,tt5066574
Alias Grace,2017-12-09,2017,TV-MA,"Biography, Crime, Drama",N/A,N/A,"Sarah Gadon, Edward Holcroft, Rebecca Liddiard",English,7.7,tt1034007
Almost Famous,2015-11-20,2000,R,"Adventure, Comedy, Drama",Cameron Crowe,Cameron Crowe,"Billy Crudup, Patrick Fugit, Kate Hudson","English, French",7.9,tt0181875
Alone,2020-06-29,2020,R,"Drama, Horror, Mystery",John Hyams,Mattias Olsson,"Jules Willcox, Marc Menchaca, Anthony Heald",English,6.2,tt7711170
Alone in Berlin,2019-02-16,2016,R,"Drama, History, War",Vincent Perez,"Achim von Borries, Vincent Perez, Bettine von Borries","Emma Thompson, Brendan Gleeson, Daniel Brühl",English,6.5,tt3026488
Along Came Polly,2016-11-20,2004,PG-13,"Comedy, Romance",John Hamburg,John Hamburg,"Ben Stiller, Jennifer Aniston, Debra Messing","English, Spanish",6.0,tt0343135
Already Tomorrow in Hong Kong,2016-06-21,2015,Not Rated,"Comedy, Romance",Emily Ting,Emily Ting,"Jamie Chung, Bryan Greenberg, Richard Ng",English,6.5,tt3700804
Altered Carbon,2018-03-02,2018–2020,TV-MA,"Action, Drama, Sci-Fi",N/A,Laeta Kalogridis,"Chris Conner, Renée Elise Goldsberry, Dichen Lachman","English, Spanish, Arabic, German",8.0,tt2261227
Always Be My Maybe,2019-06-14,2019,PG-13,"Comedy, Romance",Nahnatchka Khan,"Ali Wong, Randall Park, Michael Golamco","Ali Wong, Randall Park, James Saito",English,6.8,tt7374948
Amadeus,2016-05-11,1984,PG,"Biography, Drama, History",Milos Forman,"Peter Shaffer, Zdenek Mahler","F. Murray Abraham, Tom Hulce, Elizabeth Berridge","English, Italian, Latin, German",8.3,tt0086879
Amateur,2018-04-08,1994,R,"Comedy, Crime, Drama",Hal Hartley,Hal Hartley,"Isabelle Huppert, Martin Donovan, Elina Löwensohn",English,6.9,tt0109093
America's Funniest Home Videos,2013-08-25,1989–,TV-PG,"Comedy, Family, Reality-TV",N/A,N/A,"Jess Harnell, Tom Bergeron, Bob Saget",English,6.2,tt0098740
American Beauty,2017-01-30,1999,R,Drama,Sam Mendes,Alan Ball,"Kevin Spacey, Annette Bening, Thora Birch",English,8.3,tt0169547
American Fable,2017-12-22,2016,Not Rated,Thriller,Anne Hamilton,Anne Hamilton,"Peyton Kennedy, Richard Schiff, Kip Pardue",English,5.9,tt4671002
American Factory,2019-08-26,2019,TV-14,Documentary,"Steven Bognar, Julia Reichert",N/A,"Junming 'Jimmy' Wang, Robert Allen, Sherrod Brown","English, Mandarin",7.4,tt9351980
American Psycho,2015-12-09,2000,R,"Comedy, Crime, Drama",Mary Harron,"Bret Easton Ellis, Mary Harron, Guinevere Turner","Christian Bale, Justin Theroux, Josh Lucas","English, Spanish, Cantonese",7.6,tt0144084
Amistad,2014-12-11,1997,R,"Biography, Drama, History",Steven Spielberg,David Franzoni,"Djimon Hounsou, Matthew McConaughey, Anthony Hopkins","English, Mende, Spanish, Portuguese",7.3,tt0118607
Inside Amy Schumer,2017-03-11,2013–2016,TV-14,Comedy,N/A,"Daniel Powell, Amy Schumer","Amy Schumer, Kevin Kane, Kyle Dunnigan",English,5.9,tt2578508
Amy Schumer: Growing,2019-03-20,2019,TV-MA,Comedy,Amy Schumer,Amy Schumer,Amy Schumer,English,5.3,tt9770590
An Education,2014-05-21,2009,PG-13,Drama,Lone Scherfig,"Lynn Barber, Nick Hornby","Carey Mulligan, Peter Sarsgaard, Alfred Molina","English, French",7.3,tt1174732
An Idiot Abroad,2017-06-24,2010–2012,TV-14,"Documentary, Adventure, Comedy",N/A,N/A,"Karl Pilkington, Ricky Gervais, Stephen Merchant",English,8.3,tt1702042
Anaconda,2017-06-14,1997,PG-13,"Action, Adventure, Horror",Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.","Jon Voight, Jennifer Lopez, Eric Stoltz",English,4.8,tt0118615
Angel,2015-12-23,1999–2004,TV-14,"Action, Drama, Fantasy",N/A,"David Greenwalt, Joss Whedon","David Boreanaz, Charisma Carpenter, Alexis Denisof",English,7.9,tt0162065
Animal Fight Night,2016-03-17,2013–,N/A,Documentary,N/A,N/A,Eric Meyers,English,6.3,tt6136842
Another Life,2021-01-08,2019–,TV-MA,"Adventure, Drama, Mystery",N/A,Aaron Martin,"Katee Sackhoff, JayR Tinaco, Elizabeth Faith Ludlow",English,5.0,tt8369840
Ant-Man,2017-05-05,2015,PG-13,"Action, Adventure, Comedy",Peyton Reed,"Edgar Wright, Joe Cornish, Adam McKay","Paul Rudd, Michael Douglas, Corey Stoll",English,7.3,tt0478970
Antarctic Edge: 70° South,2015-09-01,2015,Not Rated,"Documentary, Adventure",Dena Seidel,Dena Seidel,"Naderev Sano, Oscar Schofield, Hugh Ducklow",English,6.8,tt2780714
Apocalypse Now,2017-06-21,1979,R,"Drama, Mystery, War",Francis Ford Coppola,"John Milius, Francis Ford Coppola, Michael Herr","Martin Sheen, Marlon Brando, Robert Duvall","English, French, Vietnamese",8.4,tt0078788
Archer,2016-10-05,2009–,TV-MA,"Animation, Action, Comedy",N/A,Adam Reed,"H. Jon Benjamin, Judy Greer, Amber Nash",English,8.6,tt1486217
Are You Here,2018-07-09,2013,R,"Comedy, Drama",Matthew Weiner,Matthew Weiner,"Owen Wilson, Zach Galifianakis, Amy Poehler",English,5.3,tt1545754
Armageddon,2014-01-24,1998,PG-13,"Action, Adventure, Sci-Fi",Michael Bay,"Jonathan Hensleigh, J.J. Abrams, Tony Gilroy","Bruce Willis, Billy Bob Thornton, Ben Affleck","English, Russian, Indonesian",6.7,tt0120591
Army of the Dead,2021-05-22,2021,R,"Action, Crime, Horror",Zack Snyder,"Zack Snyder, Shay Hatten, Joby Harold","Dave Bautista, Ella Purnell, Ana de la Reguera","English, Spanish, German, French",5.8,tt0993840
Arrested Development,2015-11-19,2003–2019,TV-14,Comedy,N/A,Mitchell Hurwitz,"Jason Bateman, Michael Cera, Portia de Rossi",English,8.7,tt0367279
Arthur Newman,2014-07-15,2012,R,Drama,Dante Ariola,Becky Johnston,"Colin Firth, Emily Blunt, Anne Heche",English,5.7,tt1930546
As Good as It Gets,2017-06-13,1997,PG-13,"Comedy, Drama, Romance",James L. Brooks,"Mark Andrus, James L. Brooks","Jack Nicholson, Helen Hunt, Greg Kinnear",English,7.7,tt0119822
Ascension,2015-09-26,2014,N/A,"Drama, Sci-Fi",N/A,"Adrian Cruz, Philip Levens","Tricia Helfer, Gil Bellows, Brian Van Holt",English,7.2,tt3696720
At All Costs,2017-04-27,2016,PG,"Documentary, Sport",Mike Nicoll,Mike Nicoll,N/A,English,6.5,tt3800222
Atonement,2016-05-21,2007,R,"Drama, Mystery, Romance",Joe Wright,"Ian McEwan, Christopher Hampton","Keira Knightley, James McAvoy, Brenda Blethyn","English, French",7.8,tt0783233
Atypical,2019-11-23,2017–2021,TV-MA,"Comedy, Drama",N/A,Robia Rashid,"Jennifer Jason Leigh, Keir Gilchrist, Brigette Lundy-Paine",English,8.3,tt6315640
August,2015-11-16,2008,R,Drama,Austin Chick,Howard A. Rodman,"Josh Hartnett, Naomie Harris, Adam Scott",English,5.3,tt0470679
Austenland,2014-06-23,2013,PG-13,"Comedy, Romance",Jerusha Hess,"Jerusha Hess, Shannon Hale","Keri Russell, JJ Feild, Jennifer Coolidge",English,6.3,tt1985019
Avengers,2019-03-27,1999–2000,TV-Y7,"Animation, Action, Adventure",N/A,"Jack Kirby, Stan Lee","Linda Ballantyne, Tony Daniels, Ron Rubin",English,5.5,tt0203247
Away,2020-09-18,2020,TV-14,"Drama, Romance, Sci-Fi",N/A,Andrew Hinderaker,"Hilary Swank, Josh Charles, Vivian Wu",English,6.6,tt8787802
Aziz Ansari: Right Now,2019-07-27,2019,TV-MA,Comedy,Spike Jonze,Aziz Ansari,Aziz Ansari,English,7.5,tt10575038
BASEketball,2018-11-05,1998,R,"Comedy, Sport",David Zucker,"David Zucker, Robert LoCash, Lewis Friedman","Trey Parker, Matt Stone, Dian Bachar",English,6.5,tt0131857
Baby Mama,2013-11-02,2008,PG-13,"Comedy, Romance",Michael McCullers,Michael McCullers,"Tina Fey, Amy Poehler, Sigourney Weaver",English,6.0,tt0871426
Bad Teacher,2013-10-11,2011,R,"Comedy, Romance",Jake Kasdan,"Gene Stupnitsky, Lee Eisenberg","Cameron Diaz, Jason Segel, Justin Timberlake",English,5.6,tt1284575
Banana Split,2020-07-29,2018,R,Comedy,Benjamin Kasulke,"Hannah Marks, Joey Power","Hannah Marks, Liana Liberato, Dylan Sprouse","English, German",6.2,tt7755856
Basketball or Nothing,2019-08-15,2019–,N/A,"Documentary, Sport",N/A,N/A,N/A,N/A,7.4,tt10698408
Bates Motel,2017-10-19,2013–2017,TV-MA,"Drama, Horror, Mystery",N/A,"Anthony Cipriano, Carlton Cuse, Kerry Ehrin","Vera Farmiga, Freddie Highmore, Max Thieriot",English,8.1,tt2188671
Batman Begins,2019-08-05,2005,PG-13,"Action, Adventure",Christopher Nolan,"Bob Kane, David S. Goyer, Christopher Nolan","Christian Bale, Michael Caine, Ken Watanabe","English, Mandarin",8.2,tt0372784
Battlefish,2021-07-19,2018–,N/A,Reality-TV,N/A,N/A,"Justin Bradbury, William Harper, Bill Rehmke",N/A,7.1,tt8893566
Beasts of No Nation,2016-03-03,2015,TV-MA,"Drama, War",Cary Joji Fukunaga,"Cary Joji Fukunaga, Uzodinma Iweala","Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor","English, Akan",7.7,tt1365050
Best Leftovers Ever!,2021-01-31,2020–,TV-G,Reality-TV,N/A,N/A,"Jackie Tohn, David So, Rosemary Shrager",English,5.7,tt13563634
Better Call Saul,2020-02-28,2015–,TV-MA,"Crime, Drama",N/A,"Vince Gilligan, Peter Gould","Bob Odenkirk, Rhea Seehorn, Jonathan Banks","English, Spanish, Vietnamese",8.8,tt3032476
Between Two Ferns: The Movie,2020-05-24,2019,TV-MA,Comedy,Scott Aukerman,"Scott Aukerman, Zach Galifianakis","Zach Galifianakis, Matthew McConaughey, Rekha Shankar",English,6.1,tt9398640
Beverly Hills Ninja,2017-07-03,1997,PG-13,"Action, Comedy",Dennis Dugan,"Mark Feldberg, Mitchell Klebanoff","Chris Farley, Nicollette Sheridan, Robin Shou",English,5.6,tt0118708
Beyond Stranger Things,2017-12-22,2017,TV-PG,"Documentary, Talk-Show",N/A,N/A,"Jim Rash, Matt Duffer, Ross Duffer",English,7.5,tt7570990
Big Hero 6,2016-11-16,2014,PG,"Animation, Action, Adventure","Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson","Ryan Potter, Scott Adsit, Jamie Chung",English,7.8,tt2245084
Big Mouth,2019-12-09,2017–,TV-MA,"Animation, Comedy, Romance",N/A,"Jennifer Flackett, Andrew Goldberg, Nick Kroll","Nick Kroll, John Mulaney, Jessi Klein",English,7.9,tt6524350
Big Timber,2021-07-02,2020–,N/A,Reality-TV,N/A,N/A,"Sarah Fleming, Erik Wenstob, Kevin Wenstob",English,6.5,tt13322572
Funny or Die's Billy on the Street,2020-02-06,2011–,TV-14,"Comedy, Game-Show, Reality-TV",N/A,Billy Eichner,"Billy Eichner, Olivia Wilde, Ryan Funigiello",English,7.8,tt2191991
Bird Box,2018-12-29,2018,R,"Horror, Sci-Fi",Susanne Bier,"Eric Heisserer, Josh Malerman","Sandra Bullock, Trevante Rhodes, John Malkovich",English,6.6,tt2737304
Birthmarked,2018-07-08,2018,N/A,Comedy,Emanuel Hoss-Desmarais,"Marc Tulin, Emanuel Hoss-Desmarais","Matthew Goode, Toni Collette, Andreas Apergis",English,5.8,tt4702826
Black Mirror,2018-12-31,2011–,TV-MA,"Drama, Sci-Fi, Thriller",N/A,Charlie Brooker,"Daniel Lapaine, Hannah John-Kamen, Michaela Coel",English,8.8,tt2085059
Black Panther,2020-03-01,2018,PG-13,"Action, Adventure, Sci-Fi",Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","English, Swahili, Nama, Xhosa, Korean",7.3,tt1825683
Blade Runner,2016-05-11,1982,R,"Action, Sci-Fi, Thriller",Ridley Scott,"Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean",8.1,tt0083658
Bleed for This,2020-05-26,2016,R,"Biography, Drama, Sport",Ben Younger,"Ben Younger, Pippa Bianco, Angelo Pizzo","Miles Teller, Aaron Eckhart, Katey Sagal","English, French",6.8,tt1620935
Blood Diamond,2017-07-09,2006,R,"Adventure, Drama, Thriller",Edward Zwick,"Charles Leavitt, C. Gaby Mitchell","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly","English, Mende, Afrikaans",8.0,tt0450259
Bloodline,2017-05-06,2015–2017,TV-MA,"Drama, Thriller",N/A,"Glenn Kessler, Todd A. Kessler, Daniel Zelman","Kyle Chandler, Ben Mendelsohn, Linda Cardellini",English,7.9,tt3520702
Blown Away,2021-02-15,1994,R,"Action, Crime, Drama",Stephen Hopkins,"John Rice, Joe Batteer, Jay Roach","Jeff Bridges, Tommy Lee Jones, Suzy Amis","English, Irish Gaelic",6.2,tt0109303
Blue Jasmine,2014-08-22,2013,PG-13,"Comedy, Drama",Woody Allen,Woody Allen,"Cate Blanchett, Alec Baldwin, Peter Sarsgaard",English,7.3,tt2334873
Blue Valentine,2017-06-06,2010,R,"Drama, Romance",Derek Cianfrance,"Derek Cianfrance, Joey Curtis, Cami Delavigne","Ryan Gosling, Michelle Williams, John Doman",English,7.3,tt1120985
Bo Burnham: Make Happy,2021-06-17,2016,TV-MA,"Comedy, Music","Bo Burnham, Christopher Storer",Bo Burnham,Bo Burnham,English,8.4,tt5192124
BoJack Horseman,2014-09-27,2014–2020,TV-MA,"Animation, Comedy, Drama",N/A,Raphael Bob-Waksberg,"Will Arnett, Amy Sedaris, Alison Brie",English,8.7,tt3398228
Bob's Burgers,2016-05-12,2011–,TV-PG,"Animation, Comedy",N/A,"Loren Bouchard, Jim Dauterive","H. Jon Benjamin, Dan Mintz, Eugene Mirman",English,8.1,tt1561755
Bodyguard,2018-12-10,2018,TV-MA,"Crime, Drama, Thriller",N/A,Jed Mercurio,"Richard Madden, Sophie Rundle, Vincent Franklin",English,8.1,tt7493974
Bodyguards,2017-05-06,1996–,N/A,Action,N/A,Jeffrey Caine,"Louise Lombard, Sean Pertwee, John Shrapnel, Pip Torrens",English,8.1,tt0115113
Bokeh,2017-06-23,2017,TV-MA,"Drama, Sci-Fi","Geoffrey Orthwein, Andrew Sullivan","Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar Jónsson",English,5.0,tt3722062
Boogie Nights,2018-08-20,1997,R,Drama,Paul Thomas Anderson,Paul Thomas Anderson,"Mark Wahlberg, Julianne Moore, Burt Reynolds",English,7.9,tt0118749
Borderline,2018-11-02,1980,PG,"Action, Drama",Jerrold Freedman,"Jerrold Freedman, Steve Kline","Charles Bronson, Bruno Kirby, Bert Remsen","English, Spanish",6.0,tt0080465
Bound,2015-10-12,1996,R,"Crime, Thriller","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano","English, Italian",7.3,tt0115736
Boy Meets Girl,2015-06-06,2014,R,"Comedy, Drama, Romance",Eric Schaeffer,Eric Schaeffer,"Michael Welch, Michelle Hendley, Alexandra Turshen",English,7.1,tt3007302
Boyhood,2015-04-18,2014,R,Drama,Richard Linklater,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke","English, Spanish",7.9,tt1065073
"Breakfast, Lunch & Dinner",2019-10-26,2019–,N/A,Documentary,N/A,N/A,"David Chang, John Legend, Kate McKinnon",English,6.8,tt10681670
Breaking Bad,2019-10-30,2008–2013,TV-MA,"Crime, Drama, Thriller",N/A,Vince Gilligan,"Bryan Cranston, Aaron Paul, Anna Gunn","English, Spanish",9.4,tt0903747
Breaking Boundaries,2021-06-27,2016,N/A,"Documentary, Short","Leen Tangney, Leen Tangney",N/A,"David Henry, Jack Kavanagh",English,8.7,tt6044588
Brick,2019-12-23,2005,R,"Action, Crime, Drama",Rian Johnson,Rian Johnson,"Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin",English,7.3,tt0393109
Bridesmaids,2014-05-21,2011,R,"Comedy, Romance",Paul Feig,"Kristen Wiig, Annie Mumolo","Kristen Wiig, Maya Rudolph, Rose Byrne","English, Thai, Spanish, French",6.8,tt1478338
Bridgerton,2021-01-07,2020–,TV-MA,"Drama, Romance",N/A,Chris Van Dusen,"Phoebe Dynevor, Regé-Jean Page, Nicola Coughlan",English,7.3,tt8740790
Bridget Jones's Baby,2019-04-20,2016,R,"Comedy, Drama, Romance",Sharon Maguire,"Helen Fielding, Dan Mazer, Emma Thompson","Renée Zellweger, Gemma Jones, Jim Broadbent","English, Italian",6.5,tt1473832
Bright,2018-01-16,2017,TV-MA,"Action, Fantasy, Thriller",David Ayer,Max Landis,"Will Smith, Joel Edgerton, Noomi Rapace","English, Spanish",6.3,tt5519340
Bring It On,2016-05-03,2000,PG-13,"Comedy, Romance, Sport",Peyton Reed,Jessica Bendinger,"Kirsten Dunst, Eliza Dushku, Jesse Bradford",English,6.0,tt0204946
Broadchurch,2021-01-17,2013–2017,TV-MA,"Crime, Drama, Mystery",N/A,Chris Chibnall,"David Tennant, Olivia Colman, Jodie Whittaker",English,8.4,tt2249364
Brothers in War,2016-06-06,2014,N/A,Documentary,Liz Reph,Liz Reph,"Jack Benedick, John Bradfield, Steve Hopper, Larry Lilley",English,8.0,tt3595312
Buffy the Vampire Slayer,2015-03-30,1997–2003,TV-14,"Action, Drama, Fantasy",N/A,Joss Whedon,"Sarah Michelle Gellar, Nicholas Brendon, Alyson Hannigan",English,8.2,tt0118276
Burnt,2017-09-08,2015,R,"Comedy, Drama",John Wells,"Steven Knight, Michael Kalesniko","Bradley Cooper, Sienna Miller, Daniel Brühl","English, French, Italian",6.6,tt2503944
Cake,2016-01-30,2014,R,Drama,Daniel Barnz,Patrick Tobin,"Jennifer Aniston, Adriana Barraza, Anna Kendrick","English, Spanish",6.4,tt3442006
Call the Midwife,2014-01-22,2012–,TV-PG,"Drama, History",N/A,Heidi Thomas,"Vanessa Redgrave, Laura Main, Jenny Agutter",English,8.4,tt1983079
Candy Jar,2018-05-20,2018,TV-14,Comedy,Ben Shelton,Chad Klitzman,"Jacob Latimore, Sami Gayle, Tom Bergeron",English,5.8,tt6744044
Capote,2016-11-19,2005,R,"Biography, Crime, Drama",Bennett Miller,"Dan Futterman, Gerald Clarke","Philip Seymour Hoffman, Clifton Collins Jr., Catherine Keener",English,7.3,tt0379725
Captain America,2017-11-14,1990,PG-13,"Action, Adventure, Sci-Fi",Albert Pyun,"Joe Simon, Jack Kirby, Stephen Tolkin","Matt Salinger, Ronny Cox, Ned Beatty",English,3.2,tt0103923
Captain Fantastic,2021-04-15,2016,R,"Comedy, Drama",Matt Ross,Matt Ross,"Viggo Mortensen, George MacKay, Samantha Isler","English, Esperanto, German, Chinese",7.9,tt3553976
Cargo,2018-05-24,2017,TV-MA,"Drama, Horror, Sci-Fi","Ben Howling, Yolanda Ramke",Yolanda Ramke,"Simone Landers, Martin Freeman, Marlee Jane McPherson-Dobbins","English, Aboriginal",6.3,tt3860916
Carol,2017-12-22,2015,R,"Drama, Romance",Todd Haynes,"Phyllis Nagy, Patricia Highsmith","Cate Blanchett, Rooney Mara, Sarah Paulson",English,7.2,tt2402927
Carrie Pilby,2020-07-18,2016,Not Rated,"Comedy, Drama",Susan Johnson,"Kara Holden, Caren Lissner","Bel Powley, Nathan Lane, Scott Keiji Takeda",English,6.7,tt2989524
