source,target,Weight
Betty Dalska,Jacob Ben-Ami,1
Betty Dalska,Leah Naomi,1
Betty Dalska,Peretz Hirschbein,1
Betty Dalska,Zygmunt Turkow,1
Betty Dalska,Ester-Rokhl Kaminska,1
Betty Dalska,Roza Birnboym,1
Betty Dalska,Ida Kaminska,1
Betty Dalska,Wolf Zilberberg,1
Betty Dalska,Misha Fishzon,1
Betty Dalska,Rose Shoshana,1
Betty Dalska,Reuven Vendorf,1
Betty Dalska,Leyzer Zhelazo,1
Betty Dalska,Slava Estrin,1
Bela Daniel,Avrom Slabodski,1
Dovid Denk,Celia Adler,1
Dovid Denk,Maurice Schwartz,1
Isaac Deutsch,Paul Breitman,1
Isaac Deutsch,Simkhe Natan,1
Isaac Deutsch,Klara Meisels,1
Isaac Deutsch,Ben-Tsiyon Segal,1
Isaac Deutsch,Hanoch Mayer,1
Isaac Deutsch,Naomi Natan,1
Isaac Deutsch,Shmuel Iris,1
Mina Deutsch,Paul Baratoff,1
Mina Deutsch,Paul Breitman,1
Mina Deutsch,Simkhe Natan,1
Mina Deutsch,Klara Meisels,1
Mina Deutsch,Ben-Tsiyon Segal,1
Yitskhok Dogim,Isaac Samberg,1
Yitskhok Dogim,Zygmunt Turkow,1
Yitskhok Dogim,Avrom Morevsky,1
Yitskhok Dogim,Yonas Turkow,1
Yitskhok Dogim,Dina Halpern,1
Yitskhok Dogim,Ida Kaminska,1
Yitskhok Dogim,Paul Breitman,1
Yitskhok Dogim,Khavel Buzgan,1
Yitskhok Dogim,Mordechai Yachson,1
Adam Domb,Zygmunt Turkow,1
Adam Domb,Yonas Turkow,1
Adam Domb,Ester-Rokhl Kaminska,1
Adam Domb,Ida Kaminska,1
Adam Domb,Władysław Godik,1
Adam Domb,Ruth Turkow,1
Adam Domb,Joseph Green,1
Adam Domb,Molly Picon,1
Adam Domb,Shimon Dzigan,1
Adam Domb,Yisroel Shumacher,1
Adam Domb,Alter Kacyzne,1
Adam Domb,Sonia Altboym,1
Adam Domb,Moyshe Lipman,1
Adam Domb,Yonas Turkow,1
Adam Domb,Henrik Tarlo,1
Adam Domb,Israel Kamay,1
Adam Domb,Yoyel Bergman,1
Adam Domb,Meir Melman,1
Adam Domb,Alex Stein,1
Adam Domb,Klara Segalovitch,1
Adam Domb,Sonia Altboym,1
Adam Domb,Zalmen Hirshfeld,1
Adam Domb,Yankev Mandlblit,1
Joseph Edelstein,Moyshe Feder,1
Joseph Edelstein,Boris Auerbach,1
Chava Eisen,Yonas Turkow,1
Chava Eisen,Avrom Morevsky,1
Mendl Elkin,Jacob Bergrin,1
Mendl Elkin,Chaim Shniur,1
Mendl Elkin,Joseph Green,1
Mendl Elkin,Egon Brecher,1
Jenny Epstein,Alexander Granovsky,1
Jenny Epstein,Solomon Mikhoels,1
Jenny Epstein,Natan Altman,1
Jenny Epstein,Yankev Shidlo,1
Slava Estrin,Peretz Hirschbein,1
Slava Estrin,Jacob Ben-Ami,1
Slava Estrin,Leah Naomi,1
Slava Estrin,Betty Dalska,1
Slava Estrin,Dovid Herman,1
Slava Estrin,Wolf Zilberberg,1
Slava Estrin,Reuven Vendorf,1
Slava Estrin,Alexander Azro,1
Slava Estrin,Sonia Alomis,1
Slava Estrin,Lidia Pototska,1
Avrom Eyzenberg,Władysław Weintraub,1
Avrom Eyzenberg,A. Roytman,1
Avrom Eyzenberg,Ola Lilith,1
Avrom Eyzenberg,Moyshe Potashinsky,1
Avrom Eyzenberg,Władysław Godik,1
Avrom Eyzenberg,Hersh Poznanski,1
Moyshe Feder,Seymour Rexite,1
Moyshe Feder,Leo Fuchs,1
Moyshe Feder,Pola Valter,1
Moyshe Feder,Reuven Vendorf,1
Moyshe Feder,Yankev Mestel,1
Moyshe Feder,Osip Dimov,1
Moyshe Feder,Bertha Gersten,1
Moyshe Feder,Ida Kaminska,1
Moyshe Feder,Menasha Skulnik,1
Moyshe Feder,Alexander Granovsky,1
Moyshe Feder,Mark Arnshteyn,1
Moyshe Feder,Leyzer Zhelazo,1
Moyshe Feder,Yitzkhok Hershkovitsh,1
Moyshe Feder,Molly Picon,1
Moyshe Feder,Dovid Herman,1
Moyshe Feder,Joseph Edelstein,1
Moyshe Feder,Menasha Skulnik,1
Moyshe Feder,Maurice Schwartz,1
Moyshe Feder,Leon Liebgold,1
Moyshe Feder,Lili Liliana,1
Moyshe Feder,Ester Neroslavska,1
Moyshe Feder,Dovid Herman,1
Moyshe Feder,Itzik Hershkovitsh,1
Benjamin Fishbein,Joseph Buloff,1
Benjamin Fishbein,Maurice Schwartz,1
Benjamin Fishbein,Charlotte Goldstein Chafran,1
Benjamin Fishbein,Reuven Vendorf,1
Benjamin Fishbein,Julius Adler,1
Benjamin Fishbein,Paul Baratoff,1
Benjamin Fishbein,Helen Zelinskaya,1
Benjamin Fishbein,Shloyme Krause,1
Benjamin Fishbein,Helen Beverly,1
Benjamin Fishbein,Leah Naomi,1
Benjamin Fishbein,Reuven Vendorf,1
Benjamin Fishbein,Ida Garber,1
Benjamin Fishbein,Leola Vendorf,1
Benjamin Fishbein,Edgar G. Ulmer,1
Benjamin Fishbein,Osip Dimov,1
Benjamin Fishbein,Alex Chertov,1
Benjamin Fishbein,Natan Gaiptman,1
Rivke Gamarska,Avrom Morevsky,1
Rivke Gamarska,Daniel Shapiro,1
Fela Garbarz,Shimon Dzigan,1
Fela Garbarz,Yisroel Shumacher,1
Fela Garbarz,Ruth Turkow,1
Fela Garbarz,Henekh Kon,1
Fela Garbarz,Zygmunt Turkow,1
Fela Garbarz,Simkhe Natan,1
Fela Garbarz,Avrom Morevsky,1
Fela Garbarz,Klara Segalovitch,1
Ida Garber,Maurice Schwartz,1
Ida Garber,Julius Adler,1
Ida Garber,Reuven Vendorf,1
Ida Garber,Leah Naomi,1
Ida Garber,Yoyel Bergman,1
Ida Garber,Helen Zelinskaya,1
Ida Garber,Reuven Vendorf,1
Ida Garber,Leola Vendorf,1
Ida Garber,Charlotte Goldstein Chafran,1
Ida Garber,Noah Nachbush,1
Ida Garber,Shloyme Krause,1
Ida Garber,Benjamin Fishbein,1
Ida Garber,Louis Weisberg,1
Ida Garber,Alex Chertov,1
Ida Garber,Gustav Schacht,1
Yankev Gertner,Alexander Granovsky,1
Yankev Gertner,Dovid Herman,1
Yudl Goldberg,Klara Meisels,1
Falie Goldhirsh,Moyshe Potashinski,1
Falie Goldhirsh,Yankev Mansdorf,1
Falie Goldhirsh,Ola Lilith,1
Falie Goldhirsh,Nokhum Melnik,1
Falie Goldhirsh,Hersh Poznanski,1
Falie Goldhirsh,Dovid Herman,1
Falie Goldhirsh,Henekh Kon,1
Falie Goldhirsh,Władysław Weintraub,1
Falie Goldhirsh,Tea Artsishevska,1
Falie Goldhirsh,Miriam Lipska-Mansdorf,1
Itzikl Goldnberg,Zigmund Mogulesco,1
Itzikl Goldnberg,Avrom Goldfaden,1
Itzikl Goldnberg,Boris Thomashefsky,1
Itzikl Goldnberg,Fraym Sorkin,1
Itzikl Goldnberg,Miriam Gurevitz,1
Itzikl Goldnberg,Bertha Kalich,1
Itzikl Goldnberg,Moyshe Burstin,1
Ester Goldnberg,Klara Segalovitch,1
Ester Goldnberg,Mikhl Vaykhert,1
Ester Goldnberg,Leon Schiller,1
Ester Goldnberg,Avrom Morevsky,1
Ester Goldnberg,Daniel Shapiro,1
Ester Goldnberg,Mordechai Mazo,1
Ester Goldnberg,Władysław Godik,1
Ester Goldnberg,Shloyme Kon,1
Ester Goldnberg,Max Wiskind,1
Ester Goldnberg,Aaron Zeitlin,1
Ester Goldnberg,Ida Kaminska,1
Ester Goldnberg,Maurice Schwartz,1
Helena Gotlib,Moyshe Lipman,1
Helena Gotlib,Ruth Turkow,1
Helena Gotlib,Diana Blumenfeld,1
Helena Gotlib,Yonas Turkow,1
Helena Gotlib,Yankev Kurlender,1
Helena Gotlib,Klara Segalovitch,1
Helena Gotlib,Henryk Szaro,1
Helena Gotlib,Ida Kaminska,1
Helena Gotlib,Isaac Samberg,1
Helena Gotlib,A.Y. Kaminski,1
Helena Gotlib,Mark Arnshteyn,1
Helena Gotlib,Boris Thomashefsky,1
Helena Gotlib,Rose Shoshana,1
Helena Gotlib,Zina Rapel,1
Joseph Green,Mendl Elkin,1
Joseph Green,Egon Brecher,1
Joseph Green,David Vardi,1
Joseph Green,Peretz Hirschbein,1
Joseph Green,Dovid Pinski,1
Joseph Green,H. Leivick,1
Joseph Green,Chaim Shniur,1
Joseph Green,Bela Belarina,1
Joseph Green,Yankev Mestel,1
Joseph Green,Henrik Galeen,1
Joseph Green,Ernst Deutsch,1
Joseph Green,Wolf Barzel,1
Joseph Green,Maurice Schwartz,1
Joseph Green,Celia Adler,1
Joseph Green,Mordecai Gorelik,1
Joseph Green,Paul Baratoff,1
Joseph Green,Stella Adler,1
Joseph Green,Jacob Bergrin,1
Joseph Green,Rudolph Schildkraut,1
Joseph Green,Yankev Blayfer,1
Joseph Green,Avrom Taytlboym,1
Joseph Green,Helen Zelinskaya,1
Joseph Green,Boris Auerbach,1
Joseph Green,Louis Weisberg,1
Joseph Green,Alex Chertov,1
Hertz Grosbard,Natan Breitman,1
Hertz Grosbard,Paul Breitman,1
Hertz Grosbard,Nokhum Melnik,1
Hertz Grosbard,Devorah Rosenblum,1
Hertz Grosbard,Erwin Piscator,1
Yitzkhok Grudberg,Zygmunt Turkow,1
Yitzkhok Grudberg,Dina Halpern,1
Yitzkhok Grudberg,Henryk Szaro,1
Yitzkhok Grudberg,Yonas Turkow,1
Yitzkhok Grudberg,Joseph Green,1
Yitzkhok Grudberg,Lucy German,1
Yitzkhok Grudberg,Misha German,1
Yitzkhok Grudberg,Bertha Gersten,1
Yitzkhok Grudberg,Ida Kaminska,1
Yitzkhok Grudberg,Dovid Herman,1
Yitzkhok Grudberg,Henekh Kon,1
Yitzkhok Grudberg,Moyshe Broderzon,1
Yitzkhok Grudberg,Yankev Kurlender,1
Yitzkhok Grudberg,Daniel Shapiro,1
Yitzkhok Grudberg,Alex Stein,1
Dovid Hamburger,Julius Adler,1
Dovid Hamburger,Shloyme Krause,1
Dovid Herman,Reuven Vendorf,1
Itzik Hershkovitsh,Moyshe Feder,1
Zalmen Hirshfeld,Zygmunt Turkow,1
Zalmen Hirshfeld,Moyshe Lipman,1
Zalmen Hirshfeld,Ida Kaminska,1
Zalmen Hirshfeld,Adam Domb,1
Zalmen Hirshfeld,Yankev Mandlblit,1
Zalmen Hirshfeld,Avrom Morevsky,1
Zalmen Hirshfeld,Ester Rapel,1
Zalmen Hirshfeld,Nokhum Melnik,1
Zalmen Hirshfeld,Devora Rosenblum,1
